"Timestamp","How do you address your seniors or supervisors in your workplace or educational institute?","How do you address the same seniors or supervisors in a social setting outside of the workplace or institution? For example: at a wedding or at their child's birthday party.","How do you address your juniors in your workplace or educational institute?","How do you address the same juniors in a social setting outside of the workplace or institution? For example: at a wedding or at their child's birthday party.","Suppose you just got a big promotion and are now in a senior position compared to your previous boss/supervisor. How would you address them now?","Suppose your junior just got a big promotion and is now in a senior position compared to you. How would you address them now?","How do you address your close friends?","How do you address your office colleagues or classmates?","How do you address your close elderly family members?","How do you address your siblings?","Are you more comfortable in holding important discussions on online electronic media or face to face meetings?"
"2020/09/09 11:04:03 AM GMT+7","To some I address as Sir/ma'am whereas to some I call by their first ne or even bhaiya.","Not yet experienced this...ugh...tough to decide and tell honestly!","Their first name","Their First name","Well it depends on who he was how he treated me/others. If he is very much respected/older than me, I would go with Sir/ma'am, else I would let the workplace ethics take over","Well it depends. If he/she is very m uch respected /older than me, I would go with Sir/ma'am. Else o would let the workplace ethics takeover. P.S. Nowadays no workplace has the tradition of calling seniors Sir/ma'am xD","It can literally be anything. Literally. Obviously all of the above do apply","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 11:04:11 AM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their first name","Their First name","Mister or Miss followed by their last name","Their First name","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 11:06:39 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Brother/Sister","Either of them, doesn't matter"
"2020/09/09 11:08:04 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 11:09:35 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 11:10:43 AM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 11:13:01 AM GMT+7","Their first name","Their nickname","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Their nickname","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 11:14:03 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Mister or Master followed by their last name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Bro/Dude/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 11:14:18 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 11:15:48 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 11:17:46 AM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 11:19:37 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Sir / ma'am ","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Brother/Sister","Either of them, doesn't matter"
"2020/09/09 11:22:33 AM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their first name","Their nickname","Mister or Miss followed by their last name","Sir/Ma'am","Anything from above option depending on the situation","It can be anything from above 4 options","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","If elder by relation if yonger by name","Either of them, doesn't matter"
"2020/09/09 11:22:44 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 11:22:52 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 11:25:10 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Depends on the relation.","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 11:25:35 AM GMT+7","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Mister or Master followed by their last name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Brother/Sister","Either of them, doesn't matter"
"2020/09/09 11:27:35 AM GMT+7","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their first name","Their First name","Mister or Miss followed by their last name","Their First name","Bro/Dude/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 11:27:43 AM GMT+7","Mister or Miss followed by their last name","Their First name","Their first name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 11:28:25 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 11:28:42 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their nickname","Their nickname","Their nickname","Online media"
"2020/09/09 11:29:20 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","First name and /or nick names ","Sir/Ma'am","Their First name","All the above ","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 11:31:40 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Online media"
"2020/09/09 11:32:38 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 11:37:10 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 11:38:25 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 11:38:25 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Online media"
"2020/09/09 11:39:39 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 11:40:00 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their nickname","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/09 11:42:59 AM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their first name","Their nickname","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 11:43:37 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 11:46:18 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 11:48:19 AM GMT+7","Their first name","Sir/Ma'am","Their first name","Mister or Miss followed by their last name","Their First name","Their First name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 11:50:52 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Online media"
"2020/09/09 11:55:07 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","The name given in friends circle ","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 11:56:09 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their nickname","Their First name","Sir/Ma'am","Bhai/ Bro depending on the languages they speak","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","First name/Nickname and/or relation","Either of them, doesn't matter"
"2020/09/09 12:04:13 PM GMT+7","In educational institutions it is sir/ ma’am & in workplace by there first name ","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 12:05:40 PM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Their First name","Their First name","Their nickname","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Online media"
"2020/09/09 12:05:55 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Neither of them"
"2020/09/09 12:06:11 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 12:06:33 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 12:09:38 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Depends whether they are younger or elder than me","Same","Sir/Ma'am","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 12:09:42 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","Sir/Ma'am","Their nickname","Bhai/Dost/Yaar/etc.","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 12:09:59 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Online media"
"2020/09/09 12:11:28 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 12:11:42 PM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 12:12:06 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Surname+ji","Sir/Ma'am","Their First name","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 12:13:14 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 12:15:10 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Mister or Miss followed by their last name","Their First name","Their nickname","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 12:16:54 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","Sir/Ma'am","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 12:17:55 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Mister or Miss followed by their last name","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 12:20:59 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 12:21:11 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 12:27:22 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 12:28:46 PM GMT+7","Mister or Miss followed by their last name","Their First name","Their first name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 12:29:09 PM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Mister or Master followed by their last name","Mister or Miss followed by their last name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 12:29:22 PM GMT+7","Their first name","First Name with local cultural respect (Ji, Bapak/Pak)","Their first name","Their First name","Their First name","Their First name","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 12:29:26 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 12:33:25 PM GMT+7","Their first name","Their First name","Their first name","Their nickname","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 12:34:01 PM GMT+7","Their first name","Their nickname","Their nickname","Their nickname","Mister or Miss followed by their last name","Sir/Ma'am","Bro/Dude/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 12:38:38 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Brother/Sister","Either of them, doesn't matter"
"2020/09/09 12:38:41 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Mister or Miss followed by their last name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 12:45:46 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 12:46:44 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bro/Dude/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 12:54:00 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 12:54:49 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Online media"
"2020/09/09 1:00:38 PM GMT+7","Mister or Miss followed by their last name","Sir/Ma'am","Mister or Master followed by their last name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 1:04:33 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Ji","Ji","Their nickname","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 1:07:15 PM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their first name","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 1:13:32 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 1:21:56 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 1:26:40 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 1:29:43 PM GMT+7","Mix of all above . Depending upon local culture my seniors or supervises belong to. E.g If Indian , I call them Saheb, also Mr. to few and Europeans, I call them by name etc.","Generally same as above","Mister or Master followed by their last name","Their First name","e.g Sir Name + JI for Indian OR  Name + San for Japanese OR Bpk + Name for Indonesia ","It will depend upon the person to whom I want to address. It can be any one of the 4 options depending upon the liking of person  ","All four options. I use all 4  ","All four options . I use them depending upon person to person","By the relation: Mom/Dad/Granny/Grandpa/etc.","I use all 4 options ","Either of them, doesn't matter"
"2020/09/09 1:30:11 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/09 1:46:34 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 1:47:09 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Brother/Sister","Either of them, doesn't matter"
"2020/09/09 1:49:56 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 1:55:28 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 1:56:48 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 2:11:53 PM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Their First name","Sir/Ma'am","First name and yaar","First name and yaar","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Online media"
"2020/09/09 2:13:06 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 2:15:09 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Sir/Ma'am","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 2:19:08 PM GMT+7","Sir/Ma'am","Their First name","Their first name","Names given by colleagues ","Sir/Ma'am","Their First name","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 2:23:01 PM GMT+7","Their first name","Mister or Miss followed by their last name","Their first name","Mister or Miss followed by their last name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 2:27:30 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Mister or Master followed by their last name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 2:27:54 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Mister or Master followed by their last name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 2:31:07 PM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 2:43:20 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 2:59:09 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 3:14:14 PM GMT+7","Sir/Ma'am","Uncle,ant ","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 3:31:22 PM GMT+7","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their first name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 3:35:39 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 3:39:12 PM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
